"""Remember Me"" Default Value","""Remember Me"" Default Value"
"(Not %s?)","(Not %s?)"
"* Required Fields","* Required Fields"
"Address","Address"
"Address Information","Address Information"
"Already registered?","Already registered?"
"Back","Back"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"City","City"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Close"
"Company","Company"
"Confirm Password","Confirm Password"
"Continue","Continue"
"Country","País"
"Create an Account","Create an Account"
"Easy access to your order history and status","Facil acceso a su información de transacciones y productos"
"Email Address","Correo Electrónico"
"Enable ""Remember Me""","Enable ""Remember Me"""
"Enable Persistence","Enable Persistence"
"Fast and easy check out","Proceso de compra más rápido"
"Fax","Fax"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"General Options","General Options"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Loading next step...","Loading next step..."
"Login","Login"
"Login Information","Login Information"
"Login or Create an Account","Login or Create an Account"
"New Customers","New Customers"
"Password","Password"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Personal Information"
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Register","Registro"
"Register and save time!","Regístrese y ahorre tiempo!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Registered Customers","Registered Customers"
"Remember Me","Remember Me"
"Save in address book","Save in address book"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Ship to different address","Eviar a otra dirección"
"Ship to this address","Eviar a esta dirección"
"Shopping cart has been updated with appropriate prices","Shopping cart has been updated with appropriate prices"
"Sign Up for Newsletter","Sign Up for Newsletter"
"State/Province","Departamento/Provincia"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submit","Submit"
"Telephone","Teléfono"
"To proceed to Checkout, please log in using your email address.","To proceed to Checkout, please log in using your email address."
"VAT Number","VAT Number"
"Welcome, %s!","Welcome, %s!"
"What\'s this?","What\'s this?"
"Zip/Postal Code","Código Postal"
